Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean UMI Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean UMI Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000179270,C2orf71,0.0,-3.2227157310790719,0.43535386347132249,0.0013417801606199777,3.4178900993312578,0.47447889321651576,0.0,5.2141582353694718,1.0,0.0,6.38722402005018,1.0
ENSG00000115295,CLIP4,0.025910746494586787,-0.55029038910757677,0.46765659152084366,0.04159518497921931,0.74546475735976259,0.38781273775871133,0.0,-0.84112420013171807,1.0,0.0,0.33194158454899103,1.0
ENSG00000171094,ALK,0.00025654204450085928,-1.2227157310790719,1.0,0.0,1.4178900993312578,1.0,0.0,5.2141582353694718,1.0,0.0,6.38722402005018,1.0
ENSG00000197644,AC106870.2,0.00025654204450085928,-1.2227157310790719,1.0,0.0,1.4178900993312578,1.0,0.0,5.2141582353694718,1.0,0.0,6.38722402005018,1.0
ENSG00000233862,AC016907.3,0.00051308408900171856,-0.63775323035791587,1.0,0.0,0.83292759861010168,1.0,0.0,4.6291957346483157,1.0,0.0,5.8022615193290239,1.0
ENSG00000119801,YPEL5,3.9430512239782072,0.90057282923697035,0.097594778323430664,2.1065948521733651,-0.89056770034740063,0.17559886133661293,2.357830764857392,-0.63839781314156574,1.0,1.7335402382521616,-1.0884249810674207,1.0
ENSG00000213626,LBH,0.39430512239782073,-0.015254310188507647,1.0,0.4401038926833527,0.18924682315146613,0.82638185242635565,0.064598103146777858,-2.3296469405949245,1.0,0.0,-3.4815985347248182,1.0
ENSG00000235997,AC109642.1,0.00025654204450085928,-1.2227157310790719,1.0,0.0,1.4178900993312578,1.0,0.0,5.2141582353694718,1.0,0.0,6.38722402005018,1.0
ENSG00000172954,LCLAT1,0.033350465785111708,0.11026755231728558,1.0,0.032202723854879468,0.01735216974753051,1.0,0.016149525786694464,-0.061966169904765778,1.0,0.0,0.10182180118793216,1.0
ENSG00000013016,EHD3,0.002565420445008593,-0.76328411244177552,0.80065106698434252,0.0040253404818599335,0.95845848069396133,0.82368911673926304,0.0,2.406803313311868,1.0,0.0,3.5798690979925762,1.0
ENSG00000273165,RP11-1057B6.1,0.00025654204450085928,-1.2227157310790719,1.0,0.0,1.4178900993312578,1.0,0.0,5.2141582353694718,1.0,0.0,6.38722402005018,1.0
ENSG00000162959,MEMO1,0.027449998761591942,-0.32580922404317558,0.72233659379788284,0.029519163533639512,0.10856204122352953,1.0,0.064598103146777858,1.491692210898381,1.0,0.073767669712857947,1.9060973303135644,1.0
ENSG00000162961,DPY30,0.20266821515567884,-0.48392509550453955,0.37350901638272588,0.29116629485453516,0.52429632633619794,0.40210978479643311,0.16149525786694466,-0.31651410985073136,1.0,0.33195451370786072,0.71763026886184811,1.0
ENSG00000021574,SPAST,0.016931774937056714,-0.68018849667831294,0.43535386347132249,0.0241520428911596,0.51607049327016252,0.67085790828233294,0.048448577360083393,1.7878934806673743,1.0,0.036883834856428974,1.9277924014128835,1.0
ENSG00000272716,RP11-563N4.1,0.0089789715575300747,-1.0527907296367598,0.26892693851282767,0.020126702409299667,1.2479650978889456,0.23970805887522376,0.0,0.5417328933979757,1.0,0.0,1.7147986780786848,1.0
ENSG00000152683,SLC30A6,0.015135980625550698,0.22474324589214945,1.0,0.013417801606199778,-0.029568877639962743,1.0,0.0,0.084875218424505405,1.0,0.0,1.2579410031052145,1.0
ENSG00000119820,YIPF4,0.12519251771641934,-0.55581161682173974,0.31815359309944552,0.19053278280803684,0.61197715144756115,0.33536211229497259,0.080747628933472329,-0.51602882616567225,1.0,0.22130300913857384,0.88169598682342976,1.0
ENSG00000272754,AL133245.2,0.0041046727120137485,-1.4571809847160955,0.21887596046813099,0.010734241284959822,1.4178900993312578,0.33672454134002194,0.0,1.5137185172283791,1.0,0.036883834856428974,3.7433678302754556,1.0
ENSG00000115760,BIRC6,0.10133410757783942,-0.86014565169436397,0.079394868968078944,0.19053278280803684,0.90887645184340116,0.10067834794565966,0.17764478365363912,0.72765837353400364,1.0,0.0,-1.713438318955018,1.0
