Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean UMI Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000231050,RP1-140A9.1,0.002305322986711576,1.0865690230231895,0.68305913559122855,0.0,-0.95191646334222746,0.70798166494858394,0.0,2.8922301404821082,1.0
ENSG00000169885,CALML6,0.0,-3.2353590718641723,0.4346394056928326,0.0013048374512534722,3.3700116315451343,0.45010688276184291,0.0,5.2141582353694718,1.0
ENSG00000178821,TMEM52,0.0020491759881880673,-1.8727889924794638,0.19686345951929068,0.0065241872562673614,1.6330460373789286,0.33703257351327681,0.016149525786694464,3.406803313311868,1.0
ENSG00000142609,CFAP74,0.00051229399704701682,-0.65039657114301619,1.0,0.0,0.7850491308239782,1.0,0.0,4.6291957346483157,1.0
ENSG00000067606,PRKCZ,0.028944610833156453,-0.89432215402910487,0.15862421605164156,0.049583823147631947,0.74852325479886428,0.3206407585766568,0.096897154720166787,1.7735856439834898,0.83047526769627411
ENSG00000271806,RP5-892K4.1,0.0074282629571817442,0.086569023023191249,1.0,0.0065241872562673614,0.048083536657772541,1.0,0.0,1.0848752184245054,1.0
ENSG00000182873,RP11-181G12.2,0.0012807349926175422,0.34960342885698381,0.87615864686807421,0.0,-0.2149508691760218,1.0,0.0,3.6291957346483157,1.0
ENSG00000162585,FAAP20,0.228226975684446,-0.1418183040247496,0.86589461914992583,0.25444330299442708,0.16294749368977479,0.852306108923641,0.20994383522702803,-0.064623067600233508,1.0
ENSG00000157933,SKI,0.058913809660406942,0.092828013494872685,1.0,0.057412847855152778,0.0038837327472363015,1.0,0.016149525786694464,-0.8891295730425508,1.0
ENSG00000116151,MORN1,0.0071721159586582359,-0.18473299879420413,1.0,0.007829024707520834,0.31938555847516614,1.0,0.0,1.0848752184245054,1.0
ENSG00000157916,RER1,0.182376662948738,-0.84506364667062295,0.063512891721425282,0.33012387516712849,0.84496872236486253,0.096191772371251982,0.29069146416050035,0.54620636997728389,1.0
ENSG00000157911,PEX10,0.022028641873021726,-0.4362717657901678,0.64746315513814812,0.028706423927576389,0.41784015663574881,0.71252259212338387,0.032299051573388929,1.0309364113137018,1.0
ENSG00000149527,PLCH2,0.0079405569542287616,-1.4052840733064835,0.14870912114793811,0.022182236671309027,1.5399366329874464,0.12148561894545354,0.0,0.59944839125426341,1.0
ENSG00000224387,RP3-395M20.2,0.0,-3.2353590718641723,0.4346394056928326,0.0013048374512534722,3.3700116315451343,0.45010688276184291,0.0,5.2141582353694718,1.0
ENSG00000157881,PANK4,0.023053229867115759,-1.1538291863675729,0.056799829826077182,0.049583823147631947,1.0855582420764351,0.11981310189266765,0.064598103146777858,1.5248590748335804,1.0
ENSG00000272449,RP3-395M20.12,0.15112672912886999,-0.19826975312895101,0.7863338505869476,0.1787627308217257,0.25694896705849857,0.72002039153661923,0.096897154720166787,-0.48628148277162042,1.0
ENSG00000238164,RP3-395M20.8,0.015368819911410505,-1.4339047512462519,0.024977363186987348,0.043059635891364585,1.5032781624085985,0.026366404327573711,0.016149525786694464,0.65956938369183415,1.0
ENSG00000157873,TNFRSF14,0.3160853961780094,-0.24118815066636889,0.68374593059194477,0.38623188557102778,0.29892853348365178,0.62316561844969387,0.20994383522702803,-0.55874541007271228,1.0
ENSG00000228037,RP3-395M20.9,0.012038908930604896,1.0276753339696221,0.4346394056928326,0.0052193498050138887,-0.89302277428866006,0.49145212953961476,0.0,0.51371851722837913,1.0
ENSG00000157870,FAM213B,0.026383140847921368,-0.53491935372307875,0.50401273936666469,0.040449960988857642,0.66957191340404165,0.43841388013409299,0.0,-0.86265736168135909,1.0
ENSG00000142606,MMEL1,0.0097335859438933206,0.7281150521107147,0.67017136339999483,0.0052193498050138887,-0.5934624924297518,0.78198695187628453,0.0,0.78789348066737386,1.0
ENSG00000215912,TTC34,0.002305322986711576,-0.91343097697680964,0.78388054276586405,0.003914512353760417,1.0480835366577717,0.79248310271682254,0.0,2.5137185172283791,1.0
ENSG00000142611,PRDM16,0.0,-3.2353590718641723,0.4346394056928326,0.0013048374512534722,3.3700116315451343,0.45010688276184291,0.0,5.2141582353694718,1.0
ENSG00000162591,MEGF6,0.013575790921745946,0.060096811661999539,1.0,0.011743537061281251,-0.089419987092163034,1.0,0.016149525786694464,1.236878311869555,1.0
ENSG00000238260,RP11-46F15.2,0.0015368819911410507,-1.4280041498065676,0.49178117720214887,0.003914512353760417,1.5626567094875297,0.48488814837057531,0.0,2.8922301404821082,1.0
ENSG00000158109,TPRG1L,0.048924076717990109,-0.17395852720002836,0.87615864686807421,0.056108010403899303,0.22953040799530378,0.82472175985923157,0.032299051573388929,-0.077396210474371507,1.0
ENSG00000116213,WRAP73,0.044569577743090463,-0.61703797419658413,0.35128523710515203,0.073070897270194446,0.75169053387754747,0.26950720829519825,0.0,-1.6375908060465862,1.0
ENSG00000227372,TP73-AS1,0.018442583893692608,0.047574891407327513,1.0,0.018267724317548611,0.087077668273635389,1.0,0.0,-0.22878526047925707,1.0
ENSG00000235169,SMIM1,0.01127046793503437,0.67153152374434733,0.61759469129360356,0.0052193498050138887,-0.83162222962451615,0.55954735799965238,0.016149525786694464,1.5994483912542634,1.0
ENSG00000130764,LRRC47,0.066342072617588677,-0.27908044929348952,0.69187404300706246,0.079595084526461801,0.27435939248144825,0.74330072255164947,0.080747628933472329,0.47269124896832482,1.0
ENSG00000272153,RP1-286D6.5,0.00051229399704701682,-0.65039657114301619,1.0,0.0,0.7850491308239782,1.0,0.0,4.6291957346483157,1.0
ENSG00000116198,CEP104,0.038165902780002758,-0.86452137649586236,0.16761272523200133,0.070461222367687495,0.89398350237714208,0.18002679077330874,0.048448577360083393,0.54173289339797615,1.0
ENSG00000169598,DFFB,0.015624966909934014,-0.80472471753430952,0.36192226713670217,0.028706423927576389,0.93937727721527153,0.28618274853399328,0.0,-0.17815918740928893,1.0
ENSG00000198912,C1orf174,0.049948664712084145,-0.81047378662898018,0.15984163752443123,0.091338621587743057,0.89040213097020615,0.14879244151183471,0.032299051573388929,-0.25616169941056111,1.0
ENSG00000236423,LINC01134,0.0,-3.2353590718641723,0.4346394056928326,0.0,1.3700116315451343,1.0,0.016149525786694464,7.2141582353694718,0.30086769078454861
ENSG00000196581,AJAP1,0.00051229399704701682,-0.65039657114301619,1.0,0.0,0.7850491308239782,1.0,0.0,4.6291957346483157,1.0
ENSG00000131697,NPHP4,0.0020491759881880673,-0.65039657114301619,0.94937358884824863,0.0026096749025069444,0.7850491308239782,0.95588602162091318,0.0,2.7547266167321736,1.0
ENSG00000069424,KCNAB2,0.10450797539759143,-0.759074383758787,0.13726313436102708,0.18006756827297918,0.78504913082397776,0.15998700771681829,0.12919620629355572,0.28868621401922745,1.0
ENSG00000116251,RPL22,9.0747758636908564,0.69364867150455289,0.22940575495875154,5.5312059558634692,-0.70946308915558687,0.27400734659536968,6.6536046241181195,-0.37153183359590525,1.0
