Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean UMI Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000172059,KLF11,0.021623557426659563,-2.2594025964923823,2.2951045902459605e-12,0.12373487124399997,2.0449387814667976,3.7690860254583949e-11,0.061486586979748424,0.065878735441625036,1.0
ENSG00000272524,RP11-254F7.4,0.00037936065660806249,-0.22256582831201044,1.0,0.0,-0.51087737359484287,1.0,0.0014639663566606768,2.6226075554338362,0.74469692203517668
ENSG00000171848,RRM2,0.014795065607714437,1.5143997658541952,0.33687587433068916,0.0019036134037538456,-2.510877373594842,0.1761580449200201,0.011711730853285415,0.36626780217405219,0.93914331491693426
ENSG00000115756,HPCAL1,0.2560684432104422,0.2357991026309334,0.59444183709589637,0.2176464658291897,-0.18615064535480608,0.74944557983530891,0.21666702078578018,-0.15116226026981483,1.0
ENSG00000115758,ODC1,0.14226024622802344,-0.53525571634403546,0.11406944164415291,0.13071478705776407,-0.54531087065871597,0.1619914990241193,0.38063125273177595,1.4656382090954381,8.0155378542350075e-05
ENSG00000257135,RP11-320M2.1,0.0022761639396483751,1.5847890937455933,0.41401316100545144,0.00063453780125128192,-0.73326979493129052,0.92735007490254195,0.0,-0.37739244456616383,1.0
ENSG00000115761,NOL10,0.082321262483949553,0.36570940644998107,0.39952069909540427,0.063453780125128187,-0.30112639165934096,0.54769559357468023,0.064414519693069786,-0.19842230352084345,1.0
ENSG00000243819,RN7SL832P,0.0049316885359048128,-0.5026737475047458,0.69336197842535507,0.0050763024100102553,-0.21542149006867017,0.93324914429344974,0.011711730853285415,1.3331009382388528,0.43437576839829595
ENSG00000143882,ATP6V1C2,0.0011380819698241875,-0.80752832903316651,0.72460859696150015,0.0019036134037538456,0.48912262640515713,0.92562882699978943,0.0029279327133213537,1.4002151340973894,0.81311844612701878
ENSG00000272275,RP11-791G15.2,0.0018968032830403124,-0.22256582831201044,1.0,0.00063453780125128192,-1.2478429677610485,0.4067325204665323,0.0058558654266427073,2.1371807282635951,0.27654766431741062
ENSG00000143870,PDIA6,0.35242604998889004,-0.36006935206194601,0.29895310498909844,0.45052183888841013,0.26934141852524829,0.47930206825320398,0.45675750327813119,0.23314630286100946,0.89345359821076009
ENSG00000271952,RP11-245G13.2,0.00037936065660806249,-1.8075283290331665,0.27538422178113964,0.0031726890062564093,2.6590476278474693,0.059760511473999071,0.0,-0.18474736662376756,1.0
ENSG00000145063,AC062028.1,0.00075872131321612498,1.3623966724091456,0.72676746127569414,0.0,-0.51087737359484287,1.0,0.0,1.0376450547126801,1.0
ENSG00000150873,C2orf50,0.0011380819698241875,1.7774341716879896,0.51688650078375664,0.0,-0.92591487287368679,0.79200688217797344,0.0,0.62260755543383617,1.0
ENSG00000162976,PQLC3,0.13505239375247025,-0.81960116133374239,0.0041627993875732539,0.2849074727618256,1.083735297160034,8.7892787487157628e-05,0.13175697209946091,-0.52423383289543368,0.66527667629474074
ENSG00000134318,ROCK2,0.027313967275780501,-0.61770377015314981,0.16883974680469452,0.047590335093846144,0.78285382946186832,0.058191498859759758,0.029279327133213535,-0.19452838741635237,1.0
ENSG00000169016,E2F6,0.016312508234146688,0.14940294907494778,0.94987512596465984,0.018401596236287177,0.39601322201367672,0.60717409158480207,0.0058558654266427073,-1.2452889085588179,0.4052151464743266
ENSG00000196208,GREB1,0.00075872131321612498,0.36239667240914564,1.0,0.0,-0.92591487287368679,0.78480595877906201,0.0014639663566606768,2.0376450547126801,0.85998382380420435
ENSG00000134324,LPIN1,0.15212362329983306,1.5458428135050761,1.6326431808590697e-07,0.044417646087589732,-1.5867393881101499,3.2829089593584376e-06,0.06880641876305181,-0.67507299320684799,0.5324599013885335
ENSG00000203643,AC012456.3,0.0,-1.2225658283120104,0.69336197842535507,0.00063453780125128192,2.0740851271263132,0.54727902532075823,0.0,1.6226075554338362,1.0
ENSG00000224184,MIR3681HG,0.0,-2.8075283290331665,0.082215730428742986,0.0,-1.5108773735948429,0.39831520725945424,0.0073198317833033837,5.2075700561549931,0.0014736714447859394
ENSG00000261117,RP11-333O1.1,0.0,-1.2225658283120104,0.69336197842535507,0.00063453780125128192,2.0740851271263132,0.54727902532075823,0.0,1.6226075554338362,1.0
ENSG00000071575,TRIB2,0.10963522975973006,1.481609830736526,3.7580882767018751e-06,0.012056218223774355,-3.0918268118093746,4.1838920153572999e-14,0.1010136786095867,0.48042754447442881,0.60102235581139551
ENSG00000151779,NBAS,0.034142459094725623,0.28522881188668503,0.6595216712457721,0.03045781446006153,-0.039125483321677201,1.0,0.021959495349910152,-0.49633351728966968,0.85998382380420435
ENSG00000079785,DDX1,0.13543175440907831,0.27825637425793515,0.53283022502736066,0.10596781280896407,-0.32476033864994402,0.49363760521060862,0.12443714031615753,0.012698697582449903,1.0
ENSG00000134323,MYCN,0.0011380819698241875,1.7774341716879896,0.5041437094321608,0.0,-0.92591487287368679,0.78480595877906201,0.0,0.62260755543383617,1.0
ENSG00000197872,FAM49A,0.020106114800227313,-3.0638680822929527,3.4260824729184358e-23,0.21003201221417431,2.6809402336963126,1.1913157050574586e-20,0.080518149616337228,-0.15875215809082244,1.0
ENSG00000163029,SMC6,0.047799442732615875,-1.2225658283120109,9.1546245700167115e-05,0.057108402112615371,-0.59802932268992448,0.15493522064185003,0.23862651613569033,2.2186083276074418,4.1014937166581991e-10
